JobTitle,JobPostingURL,Locations,CompanyName,CompanyTagline,CompanyFounded,EmployeeCount,AboutCompany,Job ID,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8,Skill9,Skill10
Java Developer,https://www.instahyre.com/job-324485-java-developer-at-walmart-global-tech-india-bangalore/,Bangalore,Walmart Global Tech India,Powering retail technology,1962.0,1000,Walmart is the world's largest company by revenue - approx $480 billion according to the Fortune Global 500 list in 2016 Walmart Labs is the technology arm of Walmart with a major development center in Bangalore. ,324485,Java,Hibernate,J2EE,Spring,,,,,,
Backend Developer (Java),https://www.instahyre.com/job-125885-backend-developer-java-at-kaleidofin-bangalore-chennai/,"Bangalore,Chennai",Kaleidofin,Realising Unlimited Possibilities of Life,2017.0,50,"Kaleidofin is a financial platform for the informal sector, which provides intuitive solutions tailored to the customer's goals. It uses machine learning and mobile technology to deliver a paperless experience. ",125885,Java,Microservices,Spring Boot,,,,,,,
Software Engineer 1 (Test),https://www.instahyre.com/job-328927-software-engineer-1-test-at-sortly-work-from-home/,Work From Home,Sortly,Inventory simplified,2013.0,50,Sortly is an inventory management platform that helps small businesses and large enterprises effortlessly keep track of their supplies and is supported by experienced advisors from 500 startups and Oracle. ,328927,Automation Testing,Mobile Apps Testing,Performance Testing,SDET,Appium,Java,JavaScript,Python,Selenium,
Product Solution Engineer,https://www.instahyre.com/job-328855-product-solution-engineer-at-phonepe-bangalore/,Bangalore,PhonePe,BHIM UPI based App to provide a cashless and a seamless payment experience,2015.0,1000,"PhonePe is a BHIM UPI enabled mobile payments app company which has build a platform for easy, safe and universal transfer of cash. Recently, PhonePe has developed a Point-Of-Sale system for stores in India. ",328855,Java,SQL,Technical Support,,,,,,,
Senior Software Engineer,https://www.instahyre.com/job-325045-senior-software-engineer-at-jfrog-bangalore/,Bangalore,JFrog,Make Software Liquid,2008.0,1000,"JFrog is a computer software organization that provides services related to developing high-quality applications, specializing in software distribution, continuous integration, etc. ",325045,Java,J2EE,,,,,,,,
Senior Java Developer,https://www.instahyre.com/job-324487-senior-java-developer-at-walmart-global-tech-india-bangalore/,Bangalore,Walmart Global Tech India,Powering retail technology,1962.0,1000,Walmart is the world's largest company by revenue - approx $480 billion according to the Fortune Global 500 list in 2016 Walmart Labs is the technology arm of Walmart with a major development center in Bangalore. ,324487,Java,Hibernate,J2EE,Spring,,,,,,
Fullstack Engineer - Lead,https://www.instahyre.com/job-312293-fullstack-engineer-lead-at-dunnhumby-gurgaon/,Gurgaon,Dunnhumby,The world's first Customer data science platform,1989.0,1000,"Dunnhumby is a customer intelligence platform that enables leading retailers and brands to increase revenue, brand value, and profits by delivering personalized customers experiences across all channels. ",312293,.NET,JavaScript,Angular,ASP.NET,C#,React.js,,,,
Senior Software Engineer II (Full Stack),https://www.instahyre.com/job-317891-senior-software-engineer-ii-full-stack-at-highlevel-work-from-home/,Work From Home,HighLevel,The fastest growing white-label platform,2018.0,500,"HighLevel is a SaaS-based B2B marketing platform that empowers marketing agencies with various automated tools across marketing, revenue, lead generation, and communication spaces. ",317891,JavaScript,Angular,Node.js,React.js,Vue.js,,,,,
Sr. Data Scientist - 3,https://www.instahyre.com/job-315485-sr-data-scientist-3-at-acko-bangalore/,Bangalore,Acko,Welcome Change,2017.0,500,"Acko is a tech-enabled general insurance company. Offers low-cost, small-ticket insurance products based on data analytics, such as insurance for cars and bikes, cab rides and mobile phone protection. ",315485,Machine Learning,NLP,Python,PyTorch,Scikit-learn,TensorFlow,,,,
Frontend Engineer,https://www.instahyre.com/job-328984-frontend-engineer-at-phonepe-bangalore/,Bangalore,PhonePe,BHIM UPI based App to provide a cashless and a seamless payment experience,2015.0,1000,"PhonePe is a BHIM UPI enabled mobile payments app company which has build a platform for easy, safe and universal transfer of cash. Recently, PhonePe has developed a Point-Of-Sale system for stores in India. ",328984,CSS,HTML,JavaScript,Angular,React.js,Vue.js,,,,
Software Engineer IV,https://www.instahyre.com/job-324836-software-engineer-iv-at-oracle-hyderabad/,Hyderabad,Oracle,Integrated Cloud Applications and Platform Services,1980.0,1000,"With more than 380,000 customers including 100 of the Fortune 100 and with deployments across a wide variety of industries in more than 145 countries, offers an optimized and integrated stack of software systems. ",324836,Java,Spring,,,,,,,,
HR Executive,https://www.instahyre.com/job-281591-hr-executive-at-busibud-chandigarh/,Chandigarh,Busibud,"Enabling AI-powered, automated customer service suite",2013.0,10,Busibud is a tech-enabled helpdesk software company that leverages the power of AI to help enterprises by providing full-suite customer service along with automated training and management solutions. ,281591,Recruitment,,,,,,,,,
Finance Executive,https://www.instahyre.com/job-293424-finance-executive-internship-at-busibud-bangalore-gurgaon-work-from-home/,"Bangalore,Gurgaon,Work From Home",Busibud,"Enabling AI-powered, automated customer service suite",2013.0,10,Busibud is a tech-enabled helpdesk software company that leverages the power of AI to help enterprises by providing full-suite customer service along with automated training and management solutions. ,293424,Accounting,Auditing,Finance,Financial Analysis,Financial Planning,Financial Reporting,,,,
SDET,https://www.instahyre.com/job-324002-sdet-at-phonepe-bangalore/,Bangalore,PhonePe,BHIM UPI based App to provide a cashless and a seamless payment experience,2015.0,1000,"PhonePe is a BHIM UPI enabled mobile payments app company which has build a platform for easy, safe and universal transfer of cash. Recently, PhonePe has developed a Point-Of-Sale system for stores in India. ",324002,Automation Testing,Mobile Apps Testing,SDET,Appium,Java,Python,,,,
SDET,https://www.instahyre.com/job-319026-sdet-at-hashedin-by-deloitte-bangalore-chennai-gurgaon/,"Bangalore,Chennai,Gurgaon",Hashedin by Deloitte,We build deep tech SAAS products and platforms,2010.0,500,"HashedIn provides SaaS products and product engineering services specializing in cloudification, next-gen UI/UX, Web applications, Mobile Applications, Data Engineering, IoT Driven Systems, etc. ",319026,Automation Testing,Mobile Apps Testing,Performance Testing,SDET,Appium,Cucumber,Java,JMeter,Python,Selenium
DevOps Engineer,https://www.instahyre.com/job-316190-devops-engineer-at-synechron-pune/,Pune,Synechron,Digital | Business Consulting | Technology,2001.0,1000,"Synechron, formed in 2001, provides various services and solutions to the various sectors in the field of Digital, Business Consulting, Technology and Systems Integration. They have operations in 18 countries.",316190,AWS,Ansible,CI - CD,Docker,Jenkins,Kubernetes,Linux,Windows,,
Full - Stack Developer (SDE - 2),https://www.instahyre.com/job-320346-full-stack-developer-sde-2-at-instahyre-work-from-home/,Work From Home,Instahyre,Leverage the power of AI to source talent,2016.0,50,"Instahyre is an online recruitment platform using technology to disrupt how companies hire people and individuals find great jobs effortlessly. Customers include Microsoft, Amazon, Uber, etc. ",320346,Django,Python,,,,,,,,
Staff Backend Engineer,https://www.instahyre.com/job-327417-staff-backend-engineer-at-uplers-solution-work-from-home/,Work From Home,Uplers Solution,"We specialise in web development, digital marketing & marketing automation",2012.0,500,"Uplers is a one-stop digital services company delivering end-to-end web, design, digital marketing, and email production services to businesses and agencies across 52+ Nations.",327417,AWS,DevOps,Java,Microservices,MongoDB,PostgreSQL,Spring Boot,Spring Cloud,,
Software Development Engineer - III,https://www.instahyre.com/job-320511-software-development-engineer-iii-at-highlevel-work-from-home/,Work From Home,HighLevel,The fastest growing white-label platform,2018.0,500,"HighLevel is a SaaS-based B2B marketing platform that empowers marketing agencies with various automated tools across marketing, revenue, lead generation, and communication spaces. ",320511,JavaScript,Angular,Node.js,React.js,Vue.js,,,,,
Business Intelligence Manager,https://www.instahyre.com/job-327953-business-intelligence-manager-at-get-my-parking-3-bangalore/,Bangalore,Get My Parking,Where Mobility Begins,2015.0,50,Getmyparking's mission is to organize the parking industry in India. It's platform integrates any parking equipment and connects it to mobile and cloud for a standardized seamless experience.,327953,Microsoft Excel,Power BI,Python,SQL,Tableau,,,,,
Lead Backend Engineer,https://www.instahyre.com/job-327457-lead-backend-engineer-at-skuad-3-gurgaon/,Gurgaon,Skuad,Global HR platform for your remote teams,2019.0,50,"Skuad is a digital payroll platform that makes it easy for companies to build remote teams. Its features include managing invoices, handling payroll, etc. irrespective of where the team operates from. ",327457,Node.js,,,,,,,,,
Senior Backend Developer (Cloud),https://www.instahyre.com/job-329028-senior-backend-developer-cloud-at-uplers-solution-delhi-ghaziabad-noida/,"Delhi,Ghaziabad,Noida",Uplers Solution,"We specialise in web development, digital marketing & marketing automation",2012.0,500,"Uplers is a one-stop digital services company delivering end-to-end web, design, digital marketing, and email production services to businesses and agencies across 52+ Nations.",329028,AWS,Distributed Systems,Git,Google Cloud,Node.js,Serverless Framework,,,,
Fullstack Engineer,https://www.instahyre.com/job-318714-fullstack-engineer-at-exxat-bangalore/,Bangalore,Exxat,Education management solutions for allied health sciences,2011.0,50,"Exxat creates products that improve educational outcomes for academic institutes in the allied healthcare sector, helping communities to optimize resources and improve educational outcomes. ",318714,.NET,JavaScript,Angular,ASP.NET,C#,,,,,
